Title,Company,Ratings,Reviews,Experience,Salary,Location,Job_Post_History,URL,Search_Term
Tech Mahindra Pune Hiring WFM/Data Analyst/MIS Executive,Tech Mahindra,3.6,(15468 Reviews),1-6 Yrs,"2,00,000 - 3,50,000 PA.",Pune,1 Day Ago,https://www.naukri.com/job-listings-tech-mahindra-pune-hiring-wfm-data-analyst-mis-executive-tech-mahindra-ltd-pune-1-to-6-years-050122009263?src=jobsearchDesk&sid=16471354973049364&xp=16&px=1,data analyst
Data Analyst,Firstsource Solutions Ltd,4,(2207 Reviews),0-4 Yrs,Not disclosed,Hyderabad/Secunderabad,3 Days Ago,https://www.naukri.com/job-listings-data-analyst-firstsource-solutions-ltd-hyderabad-secunderabad-0-to-4-years-090322501378?src=jobsearchDesk&sid=16471354973049364&xp=17&px=1,data analyst
Junior Data Engineer / Analyst,ION,4.6,(5 Reviews),0-2 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-junior-data-engineer-analyst-ion-mumbai-0-to-2-years-110322501750?src=jobsearchDesk&sid=16471354973049364&xp=18&px=1,data analyst
Senior Data Analyst,Flipkart,4.2,(5762 Reviews),3-6 Yrs,Not disclosed,Bangalore/Bengaluru,3 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-3-to-6-years-090322907629?src=jobsearchDesk&sid=16471354973049364&xp=19&px=1,data analyst
Senior Data Management Analyst,Wells Fargo International Solutions Private Ltd,4.1,(2066 Reviews),5-10 Yrs,Not disclosed,Serilingampally,1 Day Ago,https://www.naukri.com/job-listings-senior-data-management-analyst-wells-fargo-international-solutions-private-ltd-serilingampally-5-to-10-years-110322908032?src=jobsearchDesk&sid=16471354973049364&xp=20&px=1,data analyst
Senior Data Analyst,Flipkart,4.2,(5762 Reviews),3-7 Yrs,Not disclosed,Bangalore/Bengaluru,5 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-3-to-7-years-070322905198?src=jobsearchDesk&sid=16471354973049364&xp=21&px=1,data analyst
Operations Data Analyst,Zepto,5,(8 Reviews),0-2 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-operations-data-analyst-zepto-mumbai-0-to-2-years-120322501112?src=jobsearchDesk&sid=16471355808593025&xp=5&px=1,data analyst
Associate Data Analyst,CeX WeBuy Entertainment Pvt.Ltd,3.8,(51 Reviews),0-1 Yrs,"3,00,000 - 4,50,000 PA.",Mumbai (All Areas)(Lower Parel),2 Days Ago,https://www.naukri.com/job-listings-associate-data-analyst-cex-webuy-entertainment-pvt-ltd-mumbai-all-areas-0-to-1-years-100322008688?src=jobsearchDesk&sid=16471355808593025&xp=6&px=1,data analyst
Senior Data Analyst,Capco,3.7,(133 Reviews),4-8 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-senior-data-analyst-capco-technologies-pvt-ltd-bangalore-bengaluru-4-to-8-years-120322500291?src=jobsearchDesk&sid=16471355808593025&xp=8&px=1,data analyst
Intern - Data Analyst,TMF Group,3.4,(106 Reviews),0-1 Yrs,Not disclosed,Gurgaon/Gurugram,3 Days Ago,https://www.naukri.com/job-listings-intern-data-analyst-tmf-group-gurgaon-gurugram-0-to-1-years-090322501572?src=jobsearchDesk&sid=16471355808593025&xp=11&px=1,data analyst
Senior Data Analyst - Secured Lending,idfc first bank,3.9,(3511 Reviews),2-5 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-senior-data-analyst-secured-lending-idfc-first-bank-mumbai-2-to-5-years-120322500541?src=jobsearchDesk&sid=16471355808593025&xp=12&px=1,data analyst
Performance and Data Analyst,Ericsson Global Services,4.2,(4131 Reviews),10-15 Yrs,Not disclosed,Kolkata,1 Day Ago,https://www.naukri.com/job-listings-performance-and-data-analyst-ericsson-india-global-services-pvt-ltd-kolkata-10-to-15-years-120322500915?src=jobsearchDesk&sid=16471355808593025&xp=13&px=1,data analyst
Tech Mahindra Pune Hiring WFM/Data Analyst/MIS Executive,Tech Mahindra,3.6,(15468 Reviews),1-6 Yrs,"2,00,000 - 3,50,000 PA.",Pune,1 Day Ago,https://www.naukri.com/job-listings-tech-mahindra-pune-hiring-wfm-data-analyst-mis-executive-tech-mahindra-ltd-pune-1-to-6-years-050122009263?src=jobsearchDesk&sid=16471355808593025&xp=16&px=1,data analyst
Data Analyst,Firstsource Solutions Ltd,4,(2207 Reviews),0-4 Yrs,Not disclosed,Hyderabad/Secunderabad,3 Days Ago,https://www.naukri.com/job-listings-data-analyst-firstsource-solutions-ltd-hyderabad-secunderabad-0-to-4-years-090322501378?src=jobsearchDesk&sid=16471355808593025&xp=17&px=1,data analyst
Junior Data Engineer / Analyst,ION,4.6,(5 Reviews),0-2 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-junior-data-engineer-analyst-ion-mumbai-0-to-2-years-110322501750?src=jobsearchDesk&sid=16471355808593025&xp=18&px=1,data analyst
Senior Data Analyst,Flipkart,4.2,(5762 Reviews),3-6 Yrs,Not disclosed,Bangalore/Bengaluru,3 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-3-to-6-years-090322907629?src=jobsearchDesk&sid=16471355808593025&xp=19&px=1,data analyst
Senior Data Management Analyst,Wells Fargo International Solutions Private Ltd,4.1,(2066 Reviews),5-10 Yrs,Not disclosed,Serilingampally,1 Day Ago,https://www.naukri.com/job-listings-senior-data-management-analyst-wells-fargo-international-solutions-private-ltd-serilingampally-5-to-10-years-110322908032?src=jobsearchDesk&sid=16471355808593025&xp=20&px=1,data analyst
Senior Data Analyst,Flipkart,4.2,(5762 Reviews),3-7 Yrs,Not disclosed,Bangalore/Bengaluru,5 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-3-to-7-years-070322905198?src=jobsearchDesk&sid=16471355808593025&xp=21&px=1,data analyst
Operations Data Analyst,Zepto,5,(8 Reviews),0-2 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-operations-data-analyst-zepto-mumbai-0-to-2-years-120322501112?src=jobsearchDesk&sid=16471356591091179&xp=5&px=1,data analyst
Associate Data Analyst,CeX WeBuy Entertainment Pvt.Ltd,3.8,(51 Reviews),0-1 Yrs,"3,00,000 - 4,50,000 PA.",Mumbai (All Areas)(Lower Parel),2 Days Ago,https://www.naukri.com/job-listings-associate-data-analyst-cex-webuy-entertainment-pvt-ltd-mumbai-all-areas-0-to-1-years-100322008688?src=jobsearchDesk&sid=16471356591091179&xp=6&px=1,data analyst
Senior Data Analyst,Capco,3.7,(133 Reviews),4-8 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-senior-data-analyst-capco-technologies-pvt-ltd-bangalore-bengaluru-4-to-8-years-120322500291?src=jobsearchDesk&sid=16471356591091179&xp=8&px=1,data analyst
Intern - Data Analyst,TMF Group,3.4,(106 Reviews),0-1 Yrs,Not disclosed,Gurgaon/Gurugram,3 Days Ago,https://www.naukri.com/job-listings-intern-data-analyst-tmf-group-gurgaon-gurugram-0-to-1-years-090322501572?src=jobsearchDesk&sid=16471356591091179&xp=11&px=1,data analyst
Senior Data Analyst - Secured Lending,idfc first bank,3.9,(3511 Reviews),2-5 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-senior-data-analyst-secured-lending-idfc-first-bank-mumbai-2-to-5-years-120322500541?src=jobsearchDesk&sid=16471356591091179&xp=12&px=1,data analyst
Performance and Data Analyst,Ericsson Global Services,4.2,(4131 Reviews),10-15 Yrs,Not disclosed,Kolkata,1 Day Ago,https://www.naukri.com/job-listings-performance-and-data-analyst-ericsson-india-global-services-pvt-ltd-kolkata-10-to-15-years-120322500915?src=jobsearchDesk&sid=16471356591091179&xp=13&px=1,data analyst
Tech Mahindra Pune Hiring WFM/Data Analyst/MIS Executive,Tech Mahindra,3.6,(15468 Reviews),1-6 Yrs,"2,00,000 - 3,50,000 PA.",Pune,1 Day Ago,https://www.naukri.com/job-listings-tech-mahindra-pune-hiring-wfm-data-analyst-mis-executive-tech-mahindra-ltd-pune-1-to-6-years-050122009263?src=jobsearchDesk&sid=16471356591091179&xp=16&px=1,data analyst
Data Analyst,Firstsource Solutions Ltd,4,(2207 Reviews),0-4 Yrs,Not disclosed,Hyderabad/Secunderabad,3 Days Ago,https://www.naukri.com/job-listings-data-analyst-firstsource-solutions-ltd-hyderabad-secunderabad-0-to-4-years-090322501378?src=jobsearchDesk&sid=16471356591091179&xp=17&px=1,data analyst
Junior Data Engineer / Analyst,ION,4.6,(5 Reviews),0-2 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-junior-data-engineer-analyst-ion-mumbai-0-to-2-years-110322501750?src=jobsearchDesk&sid=16471356591091179&xp=18&px=1,data analyst
Senior Data Analyst,Flipkart,4.2,(5762 Reviews),3-6 Yrs,Not disclosed,Bangalore/Bengaluru,3 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-3-to-6-years-090322907629?src=jobsearchDesk&sid=16471356591091179&xp=19&px=1,data analyst
Senior Data Management Analyst,Wells Fargo International Solutions Private Ltd,4.1,(2066 Reviews),5-10 Yrs,Not disclosed,Serilingampally,1 Day Ago,https://www.naukri.com/job-listings-senior-data-management-analyst-wells-fargo-international-solutions-private-ltd-serilingampally-5-to-10-years-110322908032?src=jobsearchDesk&sid=16471356591091179&xp=20&px=1,data analyst
Senior Data Analyst,Flipkart,4.2,(5762 Reviews),3-7 Yrs,Not disclosed,Bangalore/Bengaluru,5 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-3-to-7-years-070322905198?src=jobsearchDesk&sid=16471356591091179&xp=21&px=1,data analyst
Operations Data Analyst,Zepto,5,(8 Reviews),0-2 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-operations-data-analyst-zepto-mumbai-0-to-2-years-120322501112?src=jobsearchDesk&sid=16471357518803497&xp=5&px=1,data analyst
Associate Data Analyst,CeX WeBuy Entertainment Pvt.Ltd,3.8,(51 Reviews),0-1 Yrs,"3,00,000 - 4,50,000 PA.",Mumbai (All Areas)(Lower Parel),2 Days Ago,https://www.naukri.com/job-listings-associate-data-analyst-cex-webuy-entertainment-pvt-ltd-mumbai-all-areas-0-to-1-years-100322008688?src=jobsearchDesk&sid=16471357518803497&xp=6&px=1,data analyst
Senior Data Analyst,Capco,3.7,(133 Reviews),4-8 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-senior-data-analyst-capco-technologies-pvt-ltd-bangalore-bengaluru-4-to-8-years-120322500291?src=jobsearchDesk&sid=16471357518803497&xp=8&px=1,data analyst
Intern - Data Analyst,TMF Group,3.4,(106 Reviews),0-1 Yrs,Not disclosed,Gurgaon/Gurugram,3 Days Ago,https://www.naukri.com/job-listings-intern-data-analyst-tmf-group-gurgaon-gurugram-0-to-1-years-090322501572?src=jobsearchDesk&sid=16471357518803497&xp=11&px=1,data analyst
Senior Data Analyst - Secured Lending,idfc first bank,3.9,(3511 Reviews),2-5 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-senior-data-analyst-secured-lending-idfc-first-bank-mumbai-2-to-5-years-120322500541?src=jobsearchDesk&sid=16471357518803497&xp=12&px=1,data analyst
Performance and Data Analyst,Ericsson Global Services,4.2,(4131 Reviews),10-15 Yrs,Not disclosed,Kolkata,1 Day Ago,https://www.naukri.com/job-listings-performance-and-data-analyst-ericsson-india-global-services-pvt-ltd-kolkata-10-to-15-years-120322500915?src=jobsearchDesk&sid=16471357518803497&xp=13&px=1,data analyst
Tech Mahindra Pune Hiring WFM/Data Analyst/MIS Executive,Tech Mahindra,3.6,(15468 Reviews),1-6 Yrs,"2,00,000 - 3,50,000 PA.",Pune,1 Day Ago,https://www.naukri.com/job-listings-tech-mahindra-pune-hiring-wfm-data-analyst-mis-executive-tech-mahindra-ltd-pune-1-to-6-years-050122009263?src=jobsearchDesk&sid=16471357518803497&xp=16&px=1,data analyst
Data Analyst,Firstsource Solutions Ltd,4,(2207 Reviews),0-4 Yrs,Not disclosed,Hyderabad/Secunderabad,3 Days Ago,https://www.naukri.com/job-listings-data-analyst-firstsource-solutions-ltd-hyderabad-secunderabad-0-to-4-years-090322501378?src=jobsearchDesk&sid=16471357518803497&xp=17&px=1,data analyst
Junior Data Engineer / Analyst,ION,4.6,(5 Reviews),0-2 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-junior-data-engineer-analyst-ion-mumbai-0-to-2-years-110322501750?src=jobsearchDesk&sid=16471357518803497&xp=18&px=1,data analyst
Senior Data Analyst,Flipkart,4.2,(5762 Reviews),3-6 Yrs,Not disclosed,Bangalore/Bengaluru,3 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-3-to-6-years-090322907629?src=jobsearchDesk&sid=16471357518803497&xp=19&px=1,data analyst
Senior Data Management Analyst,Wells Fargo International Solutions Private Ltd,4.1,(2066 Reviews),5-10 Yrs,Not disclosed,Serilingampally,1 Day Ago,https://www.naukri.com/job-listings-senior-data-management-analyst-wells-fargo-international-solutions-private-ltd-serilingampally-5-to-10-years-110322908032?src=jobsearchDesk&sid=16471357518803497&xp=20&px=1,data analyst
Senior Data Analyst,Flipkart,4.2,(5762 Reviews),3-7 Yrs,Not disclosed,Bangalore/Bengaluru,5 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-3-to-7-years-070322905198?src=jobsearchDesk&sid=16471357518803497&xp=21&px=1,data analyst
Operations Data Analyst,Zepto,5,(8 Reviews),0-2 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-operations-data-analyst-zepto-mumbai-0-to-2-years-120322501112?src=jobsearchDesk&sid=16471358088354318&xp=5&px=1,data analyst
Associate Data Analyst,CeX WeBuy Entertainment Pvt.Ltd,3.8,(51 Reviews),0-1 Yrs,"3,00,000 - 4,50,000 PA.",Mumbai (All Areas)(Lower Parel),2 Days Ago,https://www.naukri.com/job-listings-associate-data-analyst-cex-webuy-entertainment-pvt-ltd-mumbai-all-areas-0-to-1-years-100322008688?src=jobsearchDesk&sid=16471358088354318&xp=6&px=1,data analyst
Senior Data Analyst,Capco,3.7,(133 Reviews),4-8 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-senior-data-analyst-capco-technologies-pvt-ltd-bangalore-bengaluru-4-to-8-years-120322500291?src=jobsearchDesk&sid=16471358088354318&xp=8&px=1,data analyst
Intern - Data Analyst,TMF Group,3.4,(106 Reviews),0-1 Yrs,Not disclosed,Gurgaon/Gurugram,3 Days Ago,https://www.naukri.com/job-listings-intern-data-analyst-tmf-group-gurgaon-gurugram-0-to-1-years-090322501572?src=jobsearchDesk&sid=16471358088354318&xp=11&px=1,data analyst
Senior Data Analyst - Secured Lending,idfc first bank,3.9,(3511 Reviews),2-5 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-senior-data-analyst-secured-lending-idfc-first-bank-mumbai-2-to-5-years-120322500541?src=jobsearchDesk&sid=16471358088354318&xp=12&px=1,data analyst
Performance and Data Analyst,Ericsson Global Services,4.2,(4131 Reviews),10-15 Yrs,Not disclosed,Kolkata,1 Day Ago,https://www.naukri.com/job-listings-performance-and-data-analyst-ericsson-india-global-services-pvt-ltd-kolkata-10-to-15-years-120322500915?src=jobsearchDesk&sid=16471358088354318&xp=13&px=1,data analyst
Tech Mahindra Pune Hiring WFM/Data Analyst/MIS Executive,Tech Mahindra,3.6,(15468 Reviews),1-6 Yrs,"2,00,000 - 3,50,000 PA.",Pune,1 Day Ago,https://www.naukri.com/job-listings-tech-mahindra-pune-hiring-wfm-data-analyst-mis-executive-tech-mahindra-ltd-pune-1-to-6-years-050122009263?src=jobsearchDesk&sid=16471358088354318&xp=16&px=1,data analyst
Data Analyst,Firstsource Solutions Ltd,4,(2207 Reviews),0-4 Yrs,Not disclosed,Hyderabad/Secunderabad,3 Days Ago,https://www.naukri.com/job-listings-data-analyst-firstsource-solutions-ltd-hyderabad-secunderabad-0-to-4-years-090322501378?src=jobsearchDesk&sid=16471358088354318&xp=17&px=1,data analyst
Junior Data Engineer / Analyst,ION,4.6,(5 Reviews),0-2 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-junior-data-engineer-analyst-ion-mumbai-0-to-2-years-110322501750?src=jobsearchDesk&sid=16471358088354318&xp=18&px=1,data analyst
Senior Data Analyst,Flipkart,4.2,(5762 Reviews),3-6 Yrs,Not disclosed,Bangalore/Bengaluru,3 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-3-to-6-years-090322907629?src=jobsearchDesk&sid=16471358088354318&xp=19&px=1,data analyst
Senior Data Management Analyst,Wells Fargo International Solutions Private Ltd,4.1,(2066 Reviews),5-10 Yrs,Not disclosed,Serilingampally,1 Day Ago,https://www.naukri.com/job-listings-senior-data-management-analyst-wells-fargo-international-solutions-private-ltd-serilingampally-5-to-10-years-110322908032?src=jobsearchDesk&sid=16471358088354318&xp=20&px=1,data analyst
Senior Data Analyst,Flipkart,4.2,(5762 Reviews),3-7 Yrs,Not disclosed,Bangalore/Bengaluru,5 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-3-to-7-years-070322905198?src=jobsearchDesk&sid=16471358088354318&xp=21&px=1,data analyst
Operations Data Analyst,Zepto,5,(8 Reviews),0-2 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-operations-data-analyst-zepto-mumbai-0-to-2-years-120322501112?src=jobsearchDesk&sid=16471358655953856&xp=5&px=1,data analyst
Associate Data Analyst,CeX WeBuy Entertainment Pvt.Ltd,3.8,(51 Reviews),0-1 Yrs,"3,00,000 - 4,50,000 PA.",Mumbai (All Areas)(Lower Parel),2 Days Ago,https://www.naukri.com/job-listings-associate-data-analyst-cex-webuy-entertainment-pvt-ltd-mumbai-all-areas-0-to-1-years-100322008688?src=jobsearchDesk&sid=16471358655953856&xp=6&px=1,data analyst
Senior Data Analyst,Capco,3.7,(133 Reviews),4-8 Yrs,Not disclosed,Bangalore/Bengaluru,1 Day Ago,https://www.naukri.com/job-listings-senior-data-analyst-capco-technologies-pvt-ltd-bangalore-bengaluru-4-to-8-years-120322500291?src=jobsearchDesk&sid=16471358655953856&xp=8&px=1,data analyst
Intern - Data Analyst,TMF Group,3.4,(106 Reviews),0-1 Yrs,Not disclosed,Gurgaon/Gurugram,3 Days Ago,https://www.naukri.com/job-listings-intern-data-analyst-tmf-group-gurgaon-gurugram-0-to-1-years-090322501572?src=jobsearchDesk&sid=16471358655953856&xp=11&px=1,data analyst
Senior Data Analyst - Secured Lending,idfc first bank,3.9,(3511 Reviews),2-5 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-senior-data-analyst-secured-lending-idfc-first-bank-mumbai-2-to-5-years-120322500541?src=jobsearchDesk&sid=16471358655953856&xp=12&px=1,data analyst
Performance and Data Analyst,Ericsson Global Services,4.2,(4131 Reviews),10-15 Yrs,Not disclosed,Kolkata,1 Day Ago,https://www.naukri.com/job-listings-performance-and-data-analyst-ericsson-india-global-services-pvt-ltd-kolkata-10-to-15-years-120322500915?src=jobsearchDesk&sid=16471358655953856&xp=13&px=1,data analyst
Tech Mahindra Pune Hiring WFM/Data Analyst/MIS Executive,Tech Mahindra,3.6,(15468 Reviews),1-6 Yrs,"2,00,000 - 3,50,000 PA.",Pune,1 Day Ago,https://www.naukri.com/job-listings-tech-mahindra-pune-hiring-wfm-data-analyst-mis-executive-tech-mahindra-ltd-pune-1-to-6-years-050122009263?src=jobsearchDesk&sid=16471358655953856&xp=16&px=1,data analyst
Data Analyst,Firstsource Solutions Ltd,4,(2207 Reviews),0-4 Yrs,Not disclosed,Hyderabad/Secunderabad,3 Days Ago,https://www.naukri.com/job-listings-data-analyst-firstsource-solutions-ltd-hyderabad-secunderabad-0-to-4-years-090322501378?src=jobsearchDesk&sid=16471358655953856&xp=17&px=1,data analyst
Junior Data Engineer / Analyst,ION,4.6,(5 Reviews),0-2 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-junior-data-engineer-analyst-ion-mumbai-0-to-2-years-110322501750?src=jobsearchDesk&sid=16471358655953856&xp=18&px=1,data analyst
Senior Data Analyst,Flipkart,4.2,(5762 Reviews),3-6 Yrs,Not disclosed,Bangalore/Bengaluru,3 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-3-to-6-years-090322907629?src=jobsearchDesk&sid=16471358655953856&xp=19&px=1,data analyst
Senior Data Management Analyst,Wells Fargo International Solutions Private Ltd,4.1,(2066 Reviews),5-10 Yrs,Not disclosed,Serilingampally,1 Day Ago,https://www.naukri.com/job-listings-senior-data-management-analyst-wells-fargo-international-solutions-private-ltd-serilingampally-5-to-10-years-110322908032?src=jobsearchDesk&sid=16471358655953856&xp=20&px=1,data analyst
Senior Data Analyst,Flipkart,4.2,(5762 Reviews),3-7 Yrs,Not disclosed,Bangalore/Bengaluru,5 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-3-to-7-years-070322905198?src=jobsearchDesk&sid=16471358655953856&xp=21&px=1,data analyst
